tên,ô,view,từ,câu,từ/câu,dài,wpm,chữ nguy hiểm,nguy hiểm /1000 từ,nguy hiểm lần đầu %,khúc có nguy hiểm /10,you,you /1000 từ,we/our,tôi,số liệu,số /1000 từ,tên riêng,từ hiện đại,rào đón,câu dẫn có nhãn,câu hỏi,liên từ đầu câu,câu cụt ≤4 từ,dấu !,nguồn
Stop Using Fidget Toys To Focus (Do This Instead),SimplyAStickman,131,1754,150,11.7,10:07,173,3,1.7,49,3,53,30.2,0,0,38,21.7,4,3,10,2,3,11,13,0,2_KHO_BANGHI/SimplyAStickman/20260707_Stop_Using_Fidget_Toys_To_Focus_Do_This_Instead_.txt
Why Ancient Humans Sabotaged Success And You Still Do,SimplyAStickman,239,2462,219,11.2,13:41,180,13,5.3,11,5,98,39.8,4,1,39,15.8,9,1,15,4,6,24,33,0,2_KHO_BANGHI/SimplyAStickman/20260711_Why_Ancient_Humans_Sabotaged_Success_And_You_Still_Do.txt
Why Ancient Humans Feared Rejection More Than Death,SimplyAStickman,111,2555,266,9.6,14:18,178,16,6.3,3,7,94,36.8,4,3,44,17.2,12,3,7,7,7,36,43,0,2_KHO_BANGHI/SimplyAStickman/20260714_Why_Ancient_Humans_Feared_Rejection_More_Than_Death.txt
"The Ancient Reason Why You See 1,001 Distractions Everyone Else Misses",SimplyAStickman,475,2431,218,11.2,13:52,175,2,0.8,17,2,86,35.4,7,1,44,18.1,17,3,9,8,5,28,41,0,2_KHO_BANGHI/SimplyAStickman/20260716_The_Ancient_Reason_Why_You_See_1_001_Distractions_Everyone_E.txt
"Stop Telling Me to ""Just Be Flexible"" (Autism Explained)",SimplyAStickman,171,2661,243,11.0,15:00,177,2,0.8,77,2,124,46.6,3,2,41,15.4,4,4,19,7,2,38,39,0,2_KHO_BANGHI/SimplyAStickman/20260718_Stop_Telling_Me_to_Just_Be_Flexible_Autism_Explained_.txt
Why You're Actually Best in a Crisis (ADHD Explained),SimplyAStickman,779,2113,182,11.6,11:48,179,5,2.4,53,3,77,36.4,2,2,38,18.0,5,8,10,6,2,23,24,0,2_KHO_BANGHI/SimplyAStickman/20260720_Why_You_re_Actually_Best_in_a_Crisis_ADHD_Explained_.txt
Why Ancient Tribes Depended On Autistic Women,SimplyAStickman,167,2083,173,12.0,11:42,177,11,5.3,4,6,30,14.4,7,0,62,29.8,11,1,11,7,4,25,21,0,2_KHO_BANGHI/SimplyAStickman/20260722_Why_Ancient_Tribes_Depended_On_Autistic_Women.txt
Why Autism In Women Go Unseen,SimplyAStickman,65,2511,209,12.0,13:52,181,5,2.0,31,4,41,16.3,0,3,52,20.7,6,4,12,4,1,38,27,0,2_KHO_BANGHI/SimplyAStickman/20260724_Why_Autism_In_Women_Go_Unseen.txt
Why Groups Reject Most Useful Member,SimplyAStickman,"3,367",2733,277,9.9,15:16,179,12,4.4,11,7,56,20.5,3,1,40,14.6,21,0,22,5,8,33,51,0,2_KHO_BANGHI/SimplyAStickman/20260727_Why_Groups_Reject_Most_Useful_Member.txt
Why You Hear Every Sound in the Room at Once,SimplyAStickman,85,2487,227,11.0,13:53,178,4,1.6,36,2,101,40.6,4,0,54,21.7,7,19,15,7,3,37,37,0,2_KHO_BANGHI/SimplyAStickman/20260729_Why_You_Hear_Every_Sound_in_the_Room_at_Once.txt
Stop Punishing Yourself for Changing Plan,SimplyAStickman,126,2174,205,10.6,11:55,182,8,3.7,38,4,97,44.6,1,2,46,21.2,7,4,16,3,1,37,29,0,2_KHO_BANGHI/SimplyAStickman/20260731_Stop_Punishing_Yourself_for_Changing_Plan.txt
Why Being Understood Feels Different,SimplyAStickman,105,1978,162,12.2,11:03,179,14,7.1,8,8,80,40.4,4,0,34,17.2,11,0,10,1,0,29,13,0,2_KHO_BANGHI/SimplyAStickman/20260803_Why_Being_Understood_Feels_Different.txt
Why Life Seems To Speed Up As We Age,SimplyAStickman,30,3789,309,12.3,21:26,175,5,1.3,16,4,163,43.0,1,1,97,25.6,15,6,13,5,1,57,32,0,2_KHO_BANGHI/SimplyAStickman/20260805_Why_Life_Seems_To_Speed_Up_As_We_Age.txt
How Did Ancient Humans Have a Private Life?,Stickly,"146,645",3414,230,14.8,21:08,161,9,2.6,10,4,77,22.6,27,9,38,11.1,42,5,32,10,9,32,15,0,2_KHO_BANGHI/Stickly/20260526_How_Did_Ancient_Humans_Have_a_Private_Life_.txt
Why Did Ancient Humans Become White?,Stickly,"14,217",3040,218,13.9,20:40,147,15,4.9,11,8,59,19.4,19,1,36,11.8,34,3,24,11,8,29,39,0,2_KHO_BANGHI/Stickly/20260528_Why_Did_Ancient_Humans_Become_White_.txt
What Did Ancient Humans Do During the Night?,Stickly,"584,380",3530,266,13.3,21:35,163,21,5.9,4,9,83,23.5,28,4,39,11.0,41,8,38,12,10,27,45,0,2_KHO_BANGHI/Stickly/20260529_What_Did_Ancient_Humans_Do_During_the_Night_.txt
What Did Ancient Humans Do Without Jobs,Stickly,"100,795",3653,291,12.6,24:53,147,17,4.7,7,9,66,18.1,29,3,50,13.7,20,3,34,7,17,33,59,1,2_KHO_BANGHI/Stickly/20260603_What_Did_Ancient_Humans_Do_Without_Jobs.txt
How Did Ancient Humans Survive Before Medicine?,Stickly,"171,628",3691,238,15.5,21:29,171,47,12.7,4,10,22,6.0,41,2,46,12.5,30,1,38,13,5,30,16,0,2_KHO_BANGHI/Stickly/20260605_How_Did_Ancient_Humans_Survive_Before_Medicine_.txt
How Humans Accidentally Domesticated Dogs,Stickly,"26,947",3640,269,13.5,23:45,154,21,5.8,1,8,57,15.7,32,9,34,9.3,24,1,33,11,3,30,22,0,2_KHO_BANGHI/Stickly/20260606_How_Humans_Accidentally_Domesticated_Dogs.txt
How Did Ancient Women Give Birth?,Stickly,"10,517",3061,216,14.2,16:45,183,20,6.5,0,6,17,5.6,15,1,22,7.2,33,1,20,7,4,13,23,0,2_KHO_BANGHI/Stickly/20260608_How_Did_Ancient_Women_Give_Birth_.txt
What Did Ancient Humans Actually Drink?,Stickly,"4,183",3519,262,13.4,19:48,178,18,5.1,5,9,59,16.8,22,3,31,8.8,50,3,32,15,11,40,43,0,2_KHO_BANGHI/Stickly/20260611_What_Did_Ancient_Humans_Actually_Drink_.txt
How Did Ancient Humans Actually Fall in Love?,Stickly,"62,198",3320,239,13.9,21:08,157,23,6.9,21,6,60,18.1,42,22,47,14.2,14,2,33,14,12,34,31,0,2_KHO_BANGHI/Stickly/20260613_How_Did_Ancient_Humans_Actually_Fall_in_Love_.txt
Why Do We Always Need to Pet Everything?,Stickly,"417,462",3146,216,14.6,17:00,185,11,3.5,2,6,99,31.5,37,9,21,6.7,14,1,18,16,9,36,23,0,2_KHO_BANGHI/Stickly/20260614_Why_Do_We_Always_Need_to_Pet_Everything_.txt
Why Do Predators Ignore Sleeping Humans?,Stickly,"2,078,350",3163,240,13.2,18:27,172,84,26.6,5,10,59,18.7,40,2,41,13.0,15,3,34,5,6,25,33,0,2_KHO_BANGHI/Stickly/20260617_Why_Do_Predators_Ignore_Sleeping_Humans_.txt
Did Cancer Kill Ancient Humans?,Stickly,"6,452",3311,230,14.4,20:45,159,39,11.8,6,10,31,9.4,35,0,41,12.4,28,1,24,16,5,36,28,0,2_KHO_BANGHI/Stickly/20260618_Did_Cancer_Kill_Ancient_Humans_.txt
Why Did Animals Learn to Fear Us?,Stickly,"21,490",3704,164,22.6,24:23,152,86,23.2,7,10,0,0.0,34,0,23,6.2,24,0,18,6,10,27,8,0,2_KHO_BANGHI/Stickly/20260620_Why_Did_Animals_Learn_to_Fear_Us_.txt
How Did Ancient Humans Hunt Giant Animals?,Stickly,"10,539",3690,129,28.6,24:35,151,44,11.9,2,9,11,3.0,11,0,41,11.1,13,0,27,4,4,17,9,0,2_KHO_BANGHI/Stickly/20260621_How_Did_Ancient_Humans_Hunt_Giant_Animals_.txt
Why Is One Hand Dominant?,Stickly,"11,678",4031,189,21.3,27:27,148,10,2.5,8,6,77,19.1,15,3,87,21.6,7,0,29,21,9,29,16,0,2_KHO_BANGHI/Stickly/20260621_Why_Is_One_Hand_Dominant_.txt
Could Ancient Humans Become Obese?,Stickly,"130,586",3452,268,12.9,22:02,157,31,9.0,6,9,38,11.0,28,3,38,11.0,31,8,22,11,13,29,42,0,2_KHO_BANGHI/Stickly/20260622_Could_Ancient_Humans_Become_Obese_.txt
What Happened After Ancient Humans Found Fire?,Stickly,"8,684",3221,182,17.7,18:44,172,32,9.9,5,9,5,1.6,40,0,15,4.7,16,0,15,2,0,9,16,0,2_KHO_BANGHI/Stickly/20260624_What_Happened_After_Ancient_Humans_Found_Fire_.txt
What Did Humans Eat Before Fire?,Stickly,"165,872",3968,126,31.5,27:06,148,20,5.0,23,7,2,0.5,17,0,23,5.8,8,0,26,9,4,3,0,0,2_KHO_BANGHI/Stickly/20260625_What_Did_Humans_Eat_Before_Fire_.txt
How Did Ancient Humans Handle Sleepless Night?,Stickly,"5,596",3365,279,12.1,18:45,180,27,8.0,2,8,176,52.3,31,6,52,15.5,2,13,27,11,17,55,48,0,2_KHO_BANGHI/Stickly/20260626_How_Did_Ancient_Humans_Handle_Sleepless_Night_.txt
How Did Ancient Humans Build Everything?,Stickly,"24,696",3493,104,33.6,22:41,154,2,0.6,15,2,8,2.3,3,0,53,15.2,27,3,22,4,3,16,2,0,2_KHO_BANGHI/Stickly/20260627_How_Did_Ancient_Humans_Build_Everything_.txt
Why Are Predators Afraid of Our Thumbs?,Stickly,"15,179",3203,100,32.0,20:37,156,41,12.8,6,9,18,5.6,7,0,29,9.1,9,0,14,4,4,12,3,0,2_KHO_BANGHI/Stickly/20260627_Why_Are_Predators_Afraid_of_Our_Thumbs_.txt
Did Ancient Humans Actually Live Underground?,Stickly,"16,143",3645,116,31.4,24:11,151,11,3.0,15,5,14,3.8,3,1,45,12.3,52,0,12,3,4,22,6,0,2_KHO_BANGHI/Stickly/20260628_Did_Ancient_Humans_Actually_Live_Underground_.txt
How Did Ancient Humans Live Without Houses?,Stickly,"17,400",3370,145,23.2,22:51,149,19,5.6,12,8,20,5.9,12,0,17,5.0,2,0,22,8,3,14,2,0,2_KHO_BANGHI/Stickly/20260629_How_Did_Ancient_Humans_Live_Without_Houses_.txt
Do Animals Find Humans Adorable?,Stickly,"4,248",3252,103,31.6,21:07,155,4,1.2,15,3,17,5.2,34,0,27,8.3,14,0,40,6,4,22,1,0,2_KHO_BANGHI/Stickly/20260630_Do_Animals_Find_Humans_Adorable_.txt
Why Do Cats and Dogs Fight?,Stickly,"45,400",3521,139,25.3,23:33,150,41,11.6,2,9,14,4.0,9,2,28,8.0,3,0,23,7,1,13,3,0,2_KHO_BANGHI/Stickly/20260702_Why_Do_Cats_and_Dogs_Fight_.txt
Why Do Animals Bring Babies to Humans?,Stickly,"279,692",3595,160,22.5,22:03,165,16,4.5,6,9,24,6.7,37,3,23,6.4,4,0,54,14,2,18,7,0,2_KHO_BANGHI/Stickly/20260704_Why_Do_Animals_Bring_Babies_to_Humans_.txt
How Did Humans Accidentally Invent Music?,Stickly,"3,263",3466,129,26.9,23:21,149,6,1.7,20,4,2,0.6,22,0,28,8.1,14,0,39,0,2,11,4,0,2_KHO_BANGHI/Stickly/20260709_How_Did_Humans_Accidentally_Invent_Music_.txt
Why Do Some Animals Live Longer?,Stickly,"30,590",3324,120,27.7,22:37,148,29,8.7,2,8,4,1.2,14,0,33,9.9,10,0,19,3,3,23,0,0,2_KHO_BANGHI/Stickly/20260712_Why_Do_Some_Animals_Live_Longer_.txt
When Did Early Humans Start Eating Salt?,Stickly,"33,431",3592,189,19.0,22:54,158,14,3.9,5,7,18,5.0,3,2,26,7.2,43,5,20,2,1,13,15,0,2_KHO_BANGHI/Stickly/20260713_When_Did_Early_Humans_Start_Eating_Salt_.txt
Why Do Wild Animals Ask Humans for Help?,Stickly,"5,894",3530,127,27.8,22:33,158,5,1.4,9,5,6,1.7,12,1,12,3.4,9,2,48,2,2,15,4,0,2_KHO_BANGHI/Stickly/20260715_Why_Do_Wild_Animals_Ask_Humans_for_Help_.txt
Why Do Falling Dreams Feel Real?,Stickly,"12,858",3403,210,16.2,20:35,166,25,7.3,2,9,45,13.2,2,1,16,4.7,12,4,19,5,1,22,15,0,2_KHO_BANGHI/Stickly/20260717_Why_Do_Falling_Dreams_Feel_Real_.txt
Did Ancient Humans Really Die at 30?,Stickly,"3,640",3411,192,17.8,22:57,147,62,18.2,1,10,10,2.9,5,1,62,18.2,23,2,28,1,1,15,9,0,2_KHO_BANGHI/Stickly/20260718_Did_Ancient_Humans_Really_Die_at_30_.txt
Why Did Ancient Humans Abandon Caves?,Stickly,"4,468",3317,165,20.1,20:18,163,8,2.4,16,6,11,3.3,1,1,17,5.1,26,1,22,1,0,13,10,0,2_KHO_BANGHI/Stickly/20260720_Why_Did_Ancient_Humans_Abandon_Caves_.txt
At What Age Did Most Ancient Humans Die?,Stickly,"29,082",3452,294,11.7,23:06,149,76,22.0,0,10,9,2.6,4,1,65,18.8,6,1,37,0,5,16,31,0,2_KHO_BANGHI/Stickly/20260721_At_What_Age_Did_Most_Ancient_Humans_Die_.txt
How Did Ancient Humans Hunt Giant Animals?,Stickly,"4,052",3686,306,12.0,23:15,159,73,19.8,0,10,3,0.8,2,1,25,6.8,17,1,35,1,9,10,29,0,2_KHO_BANGHI/Stickly/20260722_How_Did_Ancient_Humans_Hunt_Giant_Animals_.txt
Why Don’t Orcas Hunt Humans?,Stickly,"22,793",3516,311,11.3,22:21,157,80,22.8,0,10,11,3.1,25,1,22,6.3,10,2,27,7,1,18,35,0,2_KHO_BANGHI/Stickly/20260725_Why_Don_t_Orcas_Hunt_Humans_.txt
Why Were Animals Terrified of Ancient Humans?,Stickly,"30,065",3467,321,10.8,23:22,148,107,30.9,0,10,2,0.6,23,1,26,7.5,9,1,26,2,0,13,38,0,2_KHO_BANGHI/Stickly/20260726_Why_Were_Animals_Terrified_of_Ancient_Humans_.txt
Which Ancient Technologies Have We Lost?,Stickly,"18,647",3762,310,12.1,26:45,140,16,4.3,6,9,17,4.5,31,2,30,8.0,24,3,45,1,9,28,40,0,2_KHO_BANGHI/Stickly/20260729_Which_Ancient_Technologies_Have_We_Lost_.txt
Why Couldn’t Most Ancient Humans Drink Milk?,Stickly,"13,157",3442,306,11.2,21:54,158,25,7.3,1,10,2,0.6,4,1,17,4.9,15,1,27,1,1,19,30,0,2_KHO_BANGHI/Stickly/20260731_Why_Couldn_t_Most_Ancient_Humans_Drink_Milk_.txt
Were Ancient Humans Homosexual as Well?,Stickly,"1,703",3653,309,11.8,26:31,138,17,4.7,6,8,2,0.5,16,1,49,13.4,51,2,43,2,3,17,32,0,2_KHO_BANGHI/Stickly/20260801_Were_Ancient_Humans_Homosexual_as_Well_.txt
What Parts of Human History Are Still Missing?,Stickly,"3,908",3484,284,12.3,25:52,134,19,5.5,2,9,2,0.6,34,1,29,8.3,32,1,37,3,7,13,25,0,2_KHO_BANGHI/Stickly/20260802_What_Parts_of_Human_History_Are_Still_Missing_.txt
Why Did Ancient Humans Go to America?,Stickly,"2,465",3680,348,10.6,26:35,138,20,5.4,11,9,6,1.6,12,1,49,13.3,51,2,47,0,5,28,40,0,2_KHO_BANGHI/Stickly/20260804_Why_Did_Ancient_Humans_Go_to_America_.txt
How Did Every Egyptian Pharaoh Die?,Stickly,923,3590,292,12.3,22:53,156,123,34.3,0,10,2,0.6,4,4,36,10.0,122,2,62,2,2,19,14,0,2_KHO_BANGHI/Stickly/20260805_How_Did_Every_Egyptian_Pharaoh_Die_.txt
Common Mind Glitches You Experience Without Knowing,SuperJoy,581,924,92,10.0,4:53,191,4,4.3,91,2,69,74.7,1,0,19,20.6,16,4,4,0,0,5,12,0,2_KHO_BANGHI/SuperJoy/20260512_Common_Mind_Glitches_You_Experience_Without_Knowing.txt
What Did Ancient Humans Do With No Privacy?,SuperJoy,"627,784",1251,114,11.0,6:58,177,0,0.0,100,0,25,20.0,17,2,40,32.0,21,2,8,4,1,9,14,0,2_KHO_BANGHI/SuperJoy/20260519_What_Did_Ancient_Humans_Do_With_No_Privacy_.txt
The Ice Age Should Have Killed Every Human Alive,SuperJoy,574,1549,143,10.8,8:41,173,27,17.4,2,9,28,18.1,5,0,71,45.8,36,0,11,6,0,17,26,0,2_KHO_BANGHI/SuperJoy/20260522_The_Ice_Age_Should_Have_Killed_Every_Human_Alive.txt
What Did Ancient Humans Drink Before Farming Existed?,SuperJoy,"2,276",1794,147,12.2,9:49,181,3,1.7,33,2,22,12.3,10,0,42,23.4,36,0,5,5,2,13,4,0,2_KHO_BANGHI/SuperJoy/20260526_What_Did_Ancient_Humans_Drink_Before_Farming_Existed_.txt
The Real Reason You Wake Up at 2AM,SuperJoy,"1,383",1521,133,11.4,8:41,172,10,6.6,8,6,19,12.5,18,0,58,38.1,32,1,7,5,3,13,13,0,2_KHO_BANGHI/SuperJoy/20260528_The_Real_Reason_You_Wake_Up_at_2AM.txt
What Did Ancient Humans Do When Someone Died?,SuperJoy,"1,137",1494,119,12.6,8:01,185,49,32.8,1,10,36,24.1,15,0,16,10.7,10,0,10,3,1,7,12,0,2_KHO_BANGHI/SuperJoy/20260608_What_Did_Ancient_Humans_Do_When_Someone_Died_.txt
What Did Ancient Humans Do When a Predator Attacked?,SuperJoy,242,1646,159,10.4,9:00,181,45,27.3,6,10,36,21.9,16,0,39,23.7,9,0,11,2,3,21,24,0,2_KHO_BANGHI/SuperJoy/20260609_What_Did_Ancient_Humans_Do_When_a_Predator_Attacked_.txt
How Did Ancient Humans Keep Their Babies Alive?,SuperJoy,158,1737,186,9.3,8:39,199,19,10.9,2,8,39,22.5,20,0,48,27.6,5,0,7,7,0,14,35,0,2_KHO_BANGHI/SuperJoy/20260617_How_Did_Ancient_Humans_Keep_Their_Babies_Alive_.txt
What You Did As A Baby You'll Never Remember,SuperJoy,207,1533,154,10.0,7:54,193,3,2.0,40,3,90,58.7,1,0,31,20.2,8,0,6,7,3,19,30,0,2_KHO_BANGHI/SuperJoy/20260618_What_You_Did_As_A_Baby_You_ll_Never_Remember.txt
Why Are Humans Dumber Now?,Zenn,"66,627",1762,154,11.4,10:26,167,0,0.0,100,0,38,21.6,3,4,60,34.1,11,1,17,7,5,28,21,0,2_KHO_BANGHI/Zenn/20260401_Why_Are_Humans_Dumber_Now_.txt
What Happens After We Die?,Zenn,"514,900",1542,131,11.8,8:15,185,17,11.0,4,9,56,36.3,5,0,32,20.8,6,1,21,7,5,21,13,0,2_KHO_BANGHI/Zenn/20260402_What_Happens_After_We_Die_.txt
Why You Can't Remember Being a Baby,Zenn,"1,867,656",1297,111,11.7,6:54,187,2,1.5,74,2,65,50.1,4,0,21,16.2,21,0,6,5,5,21,14,0,2_KHO_BANGHI/Zenn/20260403_Why_You_Can_t_Remember_Being_a_Baby.txt
What Did Ancient Humans Do at Night?,Zenn,"7,831,687",1598,130,12.3,8:32,184,14,8.8,14,4,23,14.4,22,0,45,28.2,22,0,17,3,8,21,16,0,2_KHO_BANGHI/Zenn/20260405_What_Did_Ancient_Humans_Do_at_Night_.txt
Why Hasn't Anyone Raised the Titanic?,Zenn,"258,509",1924,174,11.1,10:23,183,4,2.1,16,3,15,7.8,9,0,60,31.2,26,0,14,7,2,36,28,0,2_KHO_BANGHI/Zenn/20260411_Why_Hasn_t_Anyone_Raised_the_Titanic_.txt
The Spotlight Effect,Zenn,"125,251",1730,151,11.5,8:20,207,4,2.3,48,2,108,62.4,1,1,18,10.4,13,4,33,8,7,21,12,0,2_KHO_BANGHI/Zenn/20260414_The_Spotlight_Effect.txt
What If WE Are The Aliens?,Zenn,"812,233",2000,178,11.2,10:32,188,22,11.0,2,9,13,6.5,87,1,45,22.5,21,1,23,10,6,33,31,0,2_KHO_BANGHI/Zenn/20260416_What_If_WE_Are_The_Aliens_.txt
The Pratfall Effect,Zenn,"48,161",773,58,13.3,3:58,194,0,0.0,100,0,20,25.9,0,3,12,15.5,10,7,5,5,1,2,2,0,2_KHO_BANGHI/Zenn/20260419_The_Pratfall_Effect.txt
What Did Ancient Humans Actually Eat?,Zenn,"732,859",1543,136,11.3,8:03,191,21,13.6,8,9,53,34.3,20,0,32,20.7,15,4,13,2,2,20,16,0,2_KHO_BANGHI/Zenn/20260424_What_Did_Ancient_Humans_Actually_Eat_.txt
The Calhoun Effect,Zenn,"4,023,379",1636,140,11.7,8:33,189,24,14.7,3,9,0,0.0,2,0,45,27.5,9,0,6,1,1,11,11,0,2_KHO_BANGHI/Zenn/20260429_The_Calhoun_Effect.txt
What Did Ancient Humans Do All Day?,Zenn,"363,607",1794,172,10.4,8:49,203,10,5.6,4,7,34,19.0,24,0,33,18.4,15,0,16,3,5,11,25,0,2_KHO_BANGHI/Zenn/20260509_What_Did_Ancient_Humans_Do_All_Day_.txt
The ENTIRE History of MONEY,Zenn,"59,268",2506,201,12.5,12:57,192,2,0.8,75,1,41,16.4,9,0,49,19.6,47,2,10,0,4,29,16,0,2_KHO_BANGHI/Zenn/20260521_The_ENTIRE_History_of_MONEY.txt
Why Are Exactly 10% of People Left-Handed?,Zenn,"30,550",1656,126,13.1,8:37,195,3,1.8,11,2,49,29.6,13,0,43,26.0,14,0,19,8,3,16,5,0,2_KHO_BANGHI/Zenn/20260531_Why_Are_Exactly_10_of_People_Left_Handed_.txt
What If Humans Lived 4.5 Billion Years Ago?,Zenn,"35,583",1601,119,13.5,8:00,198,11,6.9,4,9,31,19.4,18,0,54,33.7,12,0,19,6,1,18,6,0,2_KHO_BANGHI/Zenn/20260604_What_If_Humans_Lived_4_5_Billion_Years_Ago_.txt
The Bliss Point,Zenn,"60,659",1665,135,12.3,8:03,206,3,1.8,39,3,66,39.6,0,0,44,26.4,19,1,5,3,1,17,8,0,2_KHO_BANGHI/Zenn/20260606_The_Bliss_Point.txt
What Happens to Unvisited Graves?,Zenn,"29,801",1517,174,8.7,9:06,165,29,19.1,7,10,78,51.4,14,0,47,31.0,25,0,14,3,0,9,28,0,2_KHO_BANGHI/Zenn/20260614_What_Happens_to_Unvisited_Graves_.txt
Why Were Vikings So Scared at Night?,Zenn,"21,647",1606,108,14.9,8:02,199,26,16.2,3,7,22,13.7,4,0,20,12.5,16,0,7,1,1,31,7,0,2_KHO_BANGHI/Zenn/20260618_Why_Were_Vikings_So_Scared_at_Night_.txt
Are You Real?,Zenn,"27,664",1728,128,13.5,8:19,207,3,1.7,34,2,107,61.9,5,1,21,12.2,13,1,13,9,3,30,13,0,2_KHO_BANGHI/Zenn/20260620_Are_You_Real_.txt
Why Do Dogs Love Humans?,Zenn,"13,394",1604,110,14.6,8:07,197,14,8.7,10,8,28,17.5,8,0,25,15.6,9,0,2,1,0,13,3,0,2_KHO_BANGHI/Zenn/20260624_Why_Do_Dogs_Love_Humans_.txt
Why Don't Dragons Exist?,Zenn,"26,359",1664,131,12.7,8:32,195,14,8.4,2,7,13,7.8,12,0,52,31.2,20,2,14,7,3,22,7,0,2_KHO_BANGHI/Zenn/20260625_Why_Don_t_Dragons_Exist_.txt
Do Animals Remember Human Faces?,Zenn,"15,620",1593,124,12.8,7:07,223,3,1.9,14,2,31,19.5,4,0,39,24.5,9,0,13,1,5,27,8,0,2_KHO_BANGHI/Zenn/20260628_Do_Animals_Remember_Human_Faces_.txt
Were Ancient Humans Loyal to One Partner?,Zenn,"22,382",1628,123,13.2,8:03,201,6,3.7,27,4,16,9.8,8,0,59,36.2,17,0,7,1,7,26,7,0,2_KHO_BANGHI/Zenn/20260630_Were_Ancient_Humans_Loyal_to_One_Partner_.txt
The Marshmallow Effect,Zenn,"14,435",1739,124,14.0,8:20,208,1,0.6,10,1,21,12.1,12,3,41,23.6,16,0,21,6,0,20,2,0,2_KHO_BANGHI/Zenn/20260704_The_Marshmallow_Effect.txt
What Did Surgery Feel Like Before Anesthesia?,Zenn,"16,719",1780,124,14.4,9:07,193,24,13.5,10,8,34,19.1,3,5,34,19.1,41,0,16,3,1,21,7,0,2_KHO_BANGHI/Zenn/20260713_What_Did_Surgery_Feel_Like_Before_Anesthesia_.txt
Would You Know If You Were Stupid?,Zenn,"13,507",1749,142,12.3,8:00,218,0,0.0,100,0,65,37.2,1,8,26,14.9,13,0,14,5,5,34,19,0,2_KHO_BANGHI/Zenn/20260719_Would_You_Know_If_You_Were_Stupid_.txt
Why Do Mosquitoes Always Bite YOU?,Zenn,"12,447",1756,156,11.3,8:59,193,11,6.3,4,5,67,38.2,3,0,50,28.5,14,1,19,5,1,26,19,0,2_KHO_BANGHI/Zenn/20260722_Why_Do_Mosquitoes_Always_Bite_YOU_.txt
When Do You Peak in Life?,Zenn,"13,035",1702,129,13.2,8:30,198,0,0.0,100,0,105,61.7,8,0,51,30.0,14,1,18,6,2,24,7,0,2_KHO_BANGHI/Zenn/20260725_When_Do_You_Peak_in_Life_.txt
Why Don't Animals Have Wheels?,Zenn,"11,849",1758,122,14.4,8:38,203,16,9.1,1,7,24,13.7,5,0,39,22.2,8,0,10,5,0,13,8,0,2_KHO_BANGHI/Zenn/20260730_Why_Don_t_Animals_Have_Wheels_.txt
MÌNH V20 bản 15 (đêm lạnh),MINH,chưa đăng,2942,248,11.9,~16:20,,48,16.3,0,10,28,9.5,21,0,89,30.3,11,2,19,11,0,50,26,0,videos/Video20_Cold/Script_V20_narration.txt
MÌNH V20 bản 1 (bản đầu),MINH,chưa đăng,2134,172,12.4,~11:51,,28,13.1,8,10,0,0.0,0,0,64,30.0,7,5,17,7,0,29,30,0,videos/Video20_Cold/_cu_ban1_truoc_viet_lai.txt
MÌNH V19 đi đêm,MINH,5,1488,126,11.8,~8:16,,11,7.4,5,7,50,33.6,0,0,57,38.3,6,3,10,7,4,23,6,0,videos/Video19_NightWalk/Script_Video19_narration.txt
MÌNH V18 ngủ ngoài trời,MINH,?,1695,158,10.7,~9:25,,4,2.4,4,4,25,14.7,5,0,73,43.1,15,4,12,5,12,27,17,0,videos/Video18_Sleep/Script_Video18_narration.txt
MÌNH V17 mưa,MINH,?,1648,138,11.9,~9:09,,10,6.1,7,7,56,34.0,2,2,54,32.8,12,2,6,11,5,36,6,0,videos/Video17_Rain/Script_Video17_narration.txt
MÌNH V20 bản 16 (đã đọc bằng mắt),MINH,chưa đăng,2925,247,11.8,~16:15,,48,16.4,0,10,28,9.6,20,0,88,30.1,11,2,20,11,3,48,26,0,videos/Video20_Cold/Script_V20_narration.txt
MÌNH V20 bản 17 (theo bảng),MINH,chưa đăng,3228,269,12.0,~17:56,,49,15.2,0,10,31,9.6,22,2,106,32.8,16,2,23,11,3,51,26,0,videos/Video20_Cold/Script_V20_narration.txt
MÌNH V20 sau đổi mở bài 19/08,MINH,chưa đăng,3265,271,12.0,~18:08,,49,15.0,1,10,32,9.8,22,3,106,32.5,16,2,24,11,3,51,26,0,videos/Video20_Cold/Script_V20_narration.txt
MÌNH V20 chốt 19/08,MINH,chưa đăng,3312,273,12.1,~18:24,,49,14.8,1,10,32,9.7,22,3,106,32.0,16,2,25,12,3,52,26,0,videos/Video20_Cold/Script_V20_narration.txt
