tên,ô,view,từ,câu,từ/câu,dài,wpm,chữ nguy hiểm,nguy hiểm /1000 từ,nguy hiểm lần đầu %,khúc có nguy hiểm /10,you,you /1000 từ,we/our,tôi,số liệu,số /1000 từ,tên riêng,từ hiện đại,rào đón,câu dẫn có nhãn,câu hỏi,liên từ đầu câu,câu cụt ≤4 từ,dấu !,nguồn
Why Wolves Chose Ancient Humans,PrimalGlitch,"120,046",1697,139,12.2,9:10,184,29,17.1,2,9,7,4.1,16,0,20,11.8,10,0,6,4,0,22,16,0,2_KHO_BANGHI/PrimalGlitch/20260617_Why_Wolves_Chose_Ancient_Humans.txt
Why Predators Never Attack Sleeping Humans,PrimalGlitch,"3,300",1719,126,13.6,9:09,187,43,25.0,1,9,38,22.1,16,1,30,17.5,11,1,9,5,3,13,15,0,2_KHO_BANGHI/PrimalGlitch/20260621_Why_Predators_Never_Attack_Sleeping_Humans.txt
How Ancient Humans Accidentally Invented Guns,PrimalGlitch,"1,190",1738,97,17.9,10:00,174,5,2.9,4,4,1,0.6,0,0,28,16.1,20,0,9,1,1,3,2,0,2_KHO_BANGHI/PrimalGlitch/20260705_How_Ancient_Humans_Accidentally_Invented_Guns.txt
How Ancient Humans Survived Deadly Ice Age Winters?,PrimalGlitch,"2,735",1632,97,16.8,7:48,209,31,19.0,3,9,20,12.3,7,0,23,14.1,6,1,21,2,5,16,8,0,2_KHO_BANGHI/PrimalGlitch/20260721_How_Ancient_Humans_Survived_Deadly_Ice_Age_Winters_.txt
Why Ancient Humans Couldn't Sleep Without Dogs?,PrimalGlitch,"37,939",1580,88,18.0,7:25,213,20,12.7,8,9,16,10.1,14,0,11,7.0,3,1,8,2,0,9,8,0,2_KHO_BANGHI/PrimalGlitch/20260730_Why_Ancient_Humans_Couldn_t_Sleep_Without_Dogs_.txt
Why Ancient Humans Couldn't Domesticate Zebras Like Horses?,PrimalGlitch,49,1395,85,16.4,7:12,192,9,6.5,11,7,5,3.6,5,0,30,21.5,25,1,5,3,1,10,5,0,2_KHO_BANGHI/PrimalGlitch/20260805_Why_Ancient_Humans_Couldn_t_Domesticate_Zebras_Like_Horses_.txt
The Terrifying Reason Humans Wear Clothes,Rune,991,1203,114,10.6,8:29,142,20,16.6,13,8,59,49.0,11,6,16,13.3,15,3,13,8,11,22,20,0,2_KHO_BANGHI/Rune/20260419_The_Terrifying_Reason_Humans_Wear_Clothes.txt
Why Does the Universe Have a Speed Limit?,Rune,"1,466",1199,159,7.5,9:49,121,0,0.0,100,0,43,35.9,1,2,24,20.0,9,0,3,12,6,21,57,0,2_KHO_BANGHI/Rune/20260421_Why_Does_the_Universe_Have_a_Speed_Limit_.txt
Why We Weren't Supposed to Drink Milk,Rune,370,1072,112,9.6,8:07,131,14,13.1,4,6,30,28.0,3,0,21,19.6,17,3,12,4,2,18,27,0,2_KHO_BANGHI/Rune/20260425_Why_We_Weren_t_Supposed_to_Drink_Milk.txt
What Did Ancient Humans Do When They Were Bored?,Rune,"142,867",1734,157,11.0,12:00,144,11,6.3,9,5,48,27.7,8,0,26,15.0,28,4,16,3,2,27,26,0,2_KHO_BANGHI/Rune/20260428_What_Did_Ancient_Humans_Do_When_They_Were_Bored_.txt
How Did Ancient Humans Actually Flirt?,Rune,"29,516",1834,148,12.4,12:18,149,1,0.5,52,1,50,27.3,9,4,22,12.0,19,4,10,2,1,16,31,0,2_KHO_BANGHI/Rune/20260508_How_Did_Ancient_Humans_Actually_Flirt_.txt
How Did Ancient Humans Actually Get High?,Rune,489,1948,140,13.9,13:46,141,1,0.5,36,1,28,14.4,5,0,28,14.4,30,1,13,4,1,16,14,0,2_KHO_BANGHI/Rune/20260519_How_Did_Ancient_Humans_Actually_Get_High_.txt
Why Ancient Humans Would Dominate the Modern Olympics,Rune,"2,305",1392,103,13.5,9:47,141,16,11.5,5,9,13,9.3,9,0,22,15.8,15,1,5,2,0,12,10,0,2_KHO_BANGHI/Rune/20260528_Why_Ancient_Humans_Would_Dominate_the_Modern_Olympics.txt
